1,2907,87,4358,11,63.2,25.1,38.1,12
2,6592,20,2991,14,76.26,5.08,71.18,13
3,3605,53,598,11,40.22,27.24,12.98,12
4,9857,27,3725,1,54.04,30.93,23.11,2
5,6258,40,983,6,66.21,9.87,56.34,14
6,3140,67,3091,14,68.91,19.74,49.17,9
7,1066,25,3843,10,20.99,4.77,16.22,8
8,6388,33,3699,15,29.94,25.48,4.46,12
9,3063,89,758,2,61.0,38.07,22.93,10
10,7748,59,1399,9,70.14,28.48,41.66,2
11,4599,43,53,11,46.72,20.79,25.93,6
12,4040,30,4510,6,96.43,16.35,80.08,5
13,2309,92,129,3,40.18,15.78,24.4,5
14,2922,16,1500,3,98.48,3.17,95.31,6
15,2855,87,4520,11,52.86,9.29,43.57,3
16,7025,86,876,11,42.38,26.98,15.4,11
17,8720,7,3750,10,56.53,7.84,48.69,12
18,1043,43,1424,5,465.0,17.71,447.29,5
19,7029,44,3301,14,77.67,30.37,47.3,7
20,4710,34,2024,6,299.0,30.8,268.2,4
21,121,15,1349,3,92.02,45.23,46.79,7
22,7464,66,2160,11,93.96,34.67,59.29,14
23,4269,60,337,2,55.64,41.02,14.62,13
24,4096,12,3967,1,355.0,13.82,341.18,14
25,6224,69,3776,11,50.14,26.71,23.43,11
26,5708,24,4744,15,61.05,42.71,18.34,8
27,6398,52,2229,2,48.23,42.56,5.67,3
28,7068,15,4484,14,96.98,18.65,78.33,3
29,8755,28,4663,10,34.32,18.73,15.59,4
30,4194,92,3912,7,63.39,15.23,48.16,9
31,8267,73,3808,11,83.51,22.91,60.6,13
32,2383,29,1465,9,31.23,30.18,1.05,2
33,4980,20,4736,4,70.55,3.06,67.49,4
34,9609,75,3076,5,39.02,10.55,28.47,1
35,9535,13,4343,4,38.49,7.31,31.18,4
36,8949,87,4915,4,53.25,33.83,19.42,1
37,3016,39,1139,5,58.86,13.91,44.95,13
38,1590,3,3335,10,56.66,37.85,18.81,4
39,3504,28,2311,7,96.07,36.67,59.4,14
40,804,79,4434,7,13.27,5.14,8.13,13
41,3148,53,938,4,98.96,48.07,50.89,13
42,3757,93,2996,9,14.15,13.53,0.62,12
43,1148,31,1216,2,37.4,35.17,2.23,4
44,4003,86,2395,12,66.46,30.31,36.15,10
45,737,83,535,7,78.34,19.29,59.05,1
46,8414,58,4835,12,83.6,47.81,35.79,11
47,4976,89,1571,10,51.37,44.79,6.58,3
48,3026,73,2588,8,99.26,9.22,90.04,2
49,8312,81,3391,3,88.73,27.2,61.53,8
50,4104,57,3156,5,38.34,31.48,6.86,6
51,6727,86,1646,9,74.19,27.23,46.96,1
52,70,22,2259,4,55.8,38.35,17.45,9
53,5672,9,4148,5,24.96,5.48,19.48,4
54,6620,56,3010,15,38.39,26.29,12.1,13
55,4783,72,3523,5,16.94,13.03,3.91,12
56,7412,48,4075,5,73.64,29.97,43.67,4
